Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System138,Planet3,1306.75,1306.75,0.25,0.63,50.55,Y,No
System139,Planet1,1014.72,1014.72,0.14,0.46,32.09,N,No
System139,Planet2,429.58,429.58,0.11,0.59,-10.87,Y,No
System139,Planet3,996.96,996.96,0.18,0.63,63.53,N,No
System140,Planet1,512.26,512.26,0.23,0.52,25.19,Y,No
System140,Planet2,439.99,439.99,0.28,0.53,-23.47,Y,No
System140,Planet3,803.13,803.13,0.11,0.61,17.12,N,No
System141,Planet1,1084.47,1084.47,0.21,0.72,-26.75,Y,No
System141,Planet2,502.68,502.68,0.23,0.59,63.47,N,No
System141,Planet3,230.02,230.02,0.26,0.68,4.3,N,No
System142,Planet1,345.79,345.79,0.23,0.36,89.03,Y,No
System142,Planet2,824.18,824.18,0.24,0.79,28.17,Y,No
System142,Planet3,1302.35,1302.35,0.25,0.52,-15.25,Y,No
System143,Planet1,629.85,629.85,0.21,0.66,-3.93,N,No
System143,Planet2,581.63,581.63,0.12,0.63,13.77,Y,No
System143,Planet3,1410.39,1410.39,0.23,0.69,1.66,Y,No
System144,Planet1,322.55,322.55,0.24,0.39,91.84,Y,No
System144,Planet2,1359.2,1359.2,0.28,0.71,45.13,Y,No
System144,Planet3,1375.6,1375.6,0.17,0.57,67.12,N,No
System145,Planet1,1093.92,1093.92,0.11,0.77,87.4,N,No
System145,Planet2,1106.52,1106.52,0.2,0.78,45.97,Y,No
System145,Planet3,20.39,20.39,0.16,0.5,1.21,N,No
System146,Planet1,9.41,9.41,0.25,0.37,73.26,N,No
System146,Planet2,1032.6,1032.6,0.2,0.55,83.36,Y,No
System146,Planet3,217.37,217.37,0.14,0.76,63.13,N,No
System147,Planet1,461.46,461.46,0.23,0.67,58.83,Y,No
System147,Planet2,1443.14,1443.14,0.21,0.62,22.13,N,No
System147,Planet3,325.62,325.62,0.16,0.41,-14.18,N,No
System148,Planet1,887.25,887.25,0.23,0.44,-3.3,Y,No
System148,Planet2,610.59,610.59,0.19,0.35,4.89,Y,No
System148,Planet3,537.4,537.4,0.18,0.32,56.23,Y,No
System149,Planet1,852.33,852.33,0.15,0.32,77.8,Y,No
System149,Planet2,837.3,837.3,0.26,0.56,90.28,Y,No
System149,Planet3,80.84,80.84,0.26,0.61,95.38,Y,No
System150,Planet1,877.19,877.19,0.3,0.43,12.69,Y,No
System150,Planet2,58.71,58.71,0.17,0.63,18.32,N,No
System150,Planet3,1420.76,1420.76,0.17,0.67,-29.87,Y,No
System151,Planet1,912.99,912.99,0.11,0.59,69.28,N,No
System151,Planet2,1205.31,1205.31,0.26,0.48,85.09,Y,No
System151,Planet3,1204.13,1204.13,0.2,0.31,-20.6,N,No
System152,Planet1,133.99,133.99,0.24,0.77,26.42,N,No
System152,Planet2,1152.7,1152.7,0.23,0.51,64.44,N,No
System152,Planet3,435.51,435.51,0.19,0.5,16.47,Y,No
System153,Planet1,440.03,440.03,0.15,0.7,39.54,N,No
System153,Planet2,386.45,386.45,0.18,0.32,-6.94,N,No
System153,Planet3,101.35,101.35,0.18,0.36,37.17,N,No
System154,Planet1,1245.75,1245.75,0.21,0.44,54.92,N,No
System154,Planet2,903.52,903.52,0.22,0.44,99.7,Y,No
System154,Planet3,1466.07,1466.07,0.27,0.75,52.01,Y,No
System155,Planet1,991.82,991.82,0.16,0.3,6.15,N,No
System155,Planet2,809.75,809.75,0.14,0.62,2.58,N,No
System155,Planet3,56.03,56.03,0.21,0.32,87.44,N,No
System156,Planet1,341.99,341.99,0.12,0.72,-7.87,N,No
System156,Planet2,1340.43,1340.43,0.1,0.78,93.65,N,No
System156,Planet3,261.27,261.27,0.2,0.42,1.11,N,No
System157,Planet1,72.71,72.71,0.3,0.54,6.02,N,No
System157,Planet2,1158.41,1158.41,0.19,0.48,71.37,Y,No
System157,Planet3,1087.41,1087.41,0.2,0.46,48.8,N,No
System158,Planet1,1093.88,1093.88,0.26,0.76,95.63,N,No
System158,Planet2,1028.18,1028.18,0.14,0.39,-17.18,Y,No
System158,Planet3,279.46,279.46,0.22,0.47,90.54,N,No
System159,Planet1,632.29,632.29,0.18,0.3,6.16,Y,No
System159,Planet2,1428.65,1428.65,0.12,0.75,28.61,Y,No
System159,Planet3,1098.95,1098.95,0.26,0.34,12.67,Y,No
System160,Planet1,1461.68,1461.68,0.23,0.74,37.68,N,No
System160,Planet2,3.86,3.86,0.16,0.43,-9.82,N,No
System160,Planet3,45.29,45.29,0.13,0.51,-20.3,N,No
System161,Planet1,1284.48,1284.48,0.3,0.69,91.53,Y,No
System161,Planet2,1269.12,1269.12,0.25,0.66,73.86,N,No
System161,Planet3,878.38,878.38,0.23,0.49,5.93,N,No
System162,Planet1,1343.77,1343.77,0.11,0.59,78.69,N,No
System162,Planet2,638.08,638.08,0.28,0.71,39.22,Y,No
System162,Planet3,1289.57,1289.57,0.25,0.55,66.54,N,No
System163,Planet1,1266.78,1266.78,0.1,0.76,-11.65,N,No
System163,Planet2,1014.4,1014.4,0.2,0.4,38.94,Y,No
System163,Planet3,601.81,601.81,0.28,0.32,54.17,Y,No
System164,Planet1,350.5,350.5,0.28,0.65,73.32,N,No
System164,Planet2,53.03,53.03,0.19,0.55,24.01,Y,No
System164,Planet3,295.44,295.44,0.22,0.55,-28.84,N,No
System165,Planet1,100.26,100.26,0.27,0.59,18.08,N,No
System165,Planet2,1427.34,1427.34,0.17,0.76,-15.94,Y,No
System165,Planet3,1138.35,1138.35,0.14,0.39,51.54,N,No
System166,Planet1,415.81,415.81,0.15,0.35,30.68,N,No
System166,Planet2,21.7,21.7,0.27,0.52,38.29,N,No
System166,Planet3,756.76,756.76,0.29,0.6,0.81,Y,No
System167,Planet1,1441.68,1441.68,0.23,0.48,75.95,Y,No
System167,Planet2,1374.73,1374.73,0.24,0.56,0.8,N,No
System167,Planet3,945.54,945.54,0.1,0.41,59.12,N,No
System168,Planet1,337.43,337.43,0.14,0.79,18.49,N,No
System168,Planet2,596.52,596.52,0.11,0.31,-6.96,Y,No
System168,Planet3,508.21,508.21,0.18,0.78,-18.28,N,No
System169,Planet1,1120.05,1120.05,0.27,0.65,0.55,Y,No
System169,Planet2,1437.81,1437.81,0.11,0.64,-27.88,N,No
System169,Planet3,1313.99,1313.99,0.17,0.62,62.98,N,No
System170,Planet1,882.01,882.01,0.11,0.65,43.71,Y,No
System170,Planet2,908.46,908.46,0.29,0.6,1.95,Y,No
System170,Planet3,630.5,630.5,0.12,0.35,20.38,N,No
System171,Planet1,1346.34,1346.34,0.19,0.77,65.69,Y,No
System171,Planet2,247.21,247.21,0.17,0.67,63.1,N,No
System171,Planet3,842.14,842.14,0.22,0.5,20.81,N,No
System172,Planet1,817.55,817.55,0.17,0.7,38.52,Y,No
System172,Planet2,855.54,855.54,0.16,0.55,33.4,N,No
System172,Planet3,552.8,552.8,0.26,0.79,94.04,N,No
System173,Planet1,871.51,871.51,0.28,0.55,-12.44,Y,No
System173,Planet2,1406.39,1406.39,0.25,0.77,12.02,Y,No
System173,Planet3,632.65,632.65,0.23,0.72,42.54,Y,No
System174,Planet1,197.24,197.24,0.21,0.3,44.59,Y,No
System174,Planet2,1254.97,1254.97,0.25,0.39,19.69,Y,No
System174,Planet3,1221.65,1221.65,0.16,0.62,-15.75,N,No
System175,Planet1,1087.49,1087.49,0.28,0.68,28.98,N,No
System175,Planet2,1252.5,1252.5,0.21,0.45,40.74,Y,No
System175,Planet3,343.34,343.34,0.27,0.47,86.56,Y,No
System176,Planet1,211.51,211.51,0.18,0.34,39.64,Y,No
System176,Planet2,320.83,320.83,0.13,0.79,26.13,N,No
System176,Planet3,1063.74,1063.74,0.29,0.71,71.73,N,No
System177,Planet1,1300.53,1300.53,0.15,0.65,93.5,Y,No
System177,Planet2,701.7,701.7,0.13,0.63,3.15,Y,No
System177,Planet3,383.49,383.49,0.17,0.51,-19.66,N,No
System178,Planet1,265.77,265.77,0.15,0.58,46.6,N,No
System178,Planet2,610.82,610.82,0.17,0.69,-14.46,N,No
System178,Planet3,1216.2,1216.2,0.12,0.52,52.49,N,No
System179,Planet1,795.05,795.05,0.16,0.56,-17.82,N,No
System179,Planet2,1072.43,1072.43,0.11,0.6,-2.36,Y,No
System179,Planet3,1060.86,1060.86,0.19,0.51,41.26,Y,No
System180,Planet1,80.12,80.12,0.3,0.67,-18.91,Y,No
System180,Planet2,405.51,405.51,0.16,0.42,-13.99,N,No
System180,Planet3,1331.16,1331.16,0.22,0.77,-16.64,Y,No
System181,Planet1,734.87,734.87,0.26,0.52,59.92,N,No
System181,Planet2,1268.67,1268.67,0.14,0.72,80.89,Y,No
System181,Planet3,591.8,591.8,0.22,0.55,44.09,N,No
System182,Planet1,688.55,688.55,0.12,0.36,0.52,Y,No
System182,Planet2,437.69,437.69,0.21,0.43,-6.34,N,No
System182,Planet3,39.1,39.1,0.15,0.32,22.81,N,No
System183,Planet1,272.81,272.81,0.22,0.74,63.31,N,No
System183,Planet2,400.95,400.95,0.13,0.44,-10.48,N,No
System183,Planet3,401.2,401.2,0.12,0.3,45.52,N,No
System184,Planet1,886.93,886.93,0.21,0.6,-27.78,Y,No
System184,Planet2,45.13,45.13,0.16,0.58,74.08,N,No
System184,Planet3,1062.8,1062.8,0.26,0.78,3.77,N,No
System185,Planet1,1344.24,1344.24,0.25,0.36,-29.77,Y,No
System185,Planet2,1236.16,1236.16,0.28,0.5,20.67,Y,No
System185,Planet3,1490.56,1490.56,0.15,0.39,77.34,Y,No
System186,Planet1,1095.37,1095.37,0.18,0.78,17.53,Y,No
System186,Planet2,255.09,255.09,0.18,0.77,88.53,N,No
System186,Planet3,1096.76,1096.76,0.26,0.6,74.44,N,No
System187,Planet1,289.59,289.59,0.23,0.56,-20.69,N,No
System187,Planet2,861.42,861.42,0.19,0.75,28.43,N,No
System187,Planet3,875.74,875.74,0.27,0.42,94.89,Y,No
System188,Planet1,732.88,732.88,0.25,0.62,-4.65,Y,No
System188,Planet2,592.62,592.62,0.28,0.54,54.3,Y,No
System188,Planet3,1440.55,1440.55,0.18,0.54,82.79,Y,No
System189,Planet1,220.45,220.45,0.13,0.39,31.98,Y,No
System189,Planet2,1078.47,1078.47,0.26,0.39,22.39,Y,No
System189,Planet3,720.94,720.94,0.14,0.64,63.19,Y,No
System190,Planet1,1415.83,1415.83,0.15,0.69,-5.71,Y,No
System190,Planet2,153.6,153.6,0.28,0.66,29.75,Y,No
System190,Planet3,1283.02,1283.02,0.17,0.34,78.47,Y,No
System191,Planet1,430.13,430.13,0.11,0.76,-27.91,N,No
System191,Planet2,898.27,898.27,0.12,0.72,86.45,N,No
System191,Planet3,957.98,957.98,0.16,0.46,4.21,N,No
System192,Planet1,611.76,611.76,0.19,0.57,20.05,Y,No
System192,Planet2,286.34,286.34,0.18,0.66,92.89,Y,No
System192,Planet3,1433.23,1433.23,0.21,0.76,11.87,N,No
System193,Planet1,36.68,36.68,0.29,0.76,97.54,N,No
System193,Planet2,582.44,582.44,0.26,0.77,59.07,N,No
System193,Planet3,824.55,824.55,0.28,0.68,61.19,N,No
System194,Planet1,833.48,833.48,0.12,0.74,84.4,Y,No
System194,Planet2,1452.17,1452.17,0.18,0.74,53.82,N,No
System194,Planet3,708.96,708.96,0.23,0.77,57.15,N,No
System195,Planet1,769.14,769.14,0.11,0.75,-19.76,N,No
System195,Planet2,504.16,504.16,0.2,0.61,18.73,Y,No
System195,Planet3,240.04,240.04,0.11,0.46,17.65,N,No
System196,Planet1,393.68,393.68,0.18,0.63,83.21,Y,No
System196,Planet2,1357.65,1357.65,0.27,0.31,54.98,N,No
System196,Planet3,424.88,424.88,0.11,0.41,38.42,N,No
System197,Planet1,339.68,339.68,0.14,0.41,35.69,N,No
System197,Planet2,111.7,111.7,0.11,0.38,37.79,N,No
System197,Planet3,1055.49,1055.49,0.13,0.62,71.96,Y,No
System198,Planet1,1249.89,1249.89,0.18,0.79,95.23,Y,No
System198,Planet2,938.51,938.51,0.29,0.58,9.08,Y,No
System198,Planet3,739.53,739.53,0.3,0.65,80.4,Y,No
System199,Planet1,1207.48,1207.48,0.19,0.51,10.97,N,No
System199,Planet2,1083.81,1083.81,0.12,0.69,74.92,N,No
System199,Planet3,1075.58,1075.58,0.12,0.79,76.41,Y,No
System200,Planet1,752.55,752.55,0.15,0.69,37.27,N,No
System200,Planet2,506.12,506.12,0.24,0.67,-10.58,Y,No
System200,Planet3,1277.61,1277.61,0.16,0.65,-2.21,N,No
System201,Planet1,1308.9,1308.9,0.29,0.45,92.56,N,No
System201,Planet2,154.57,154.57,0.13,0.78,44.53,N,No
System201,Planet3,382.77,382.77,0.23,0.54,-25.06,N,No
System202,Planet1,1104.85,1104.85,0.29,0.63,15.21,Y,No
System202,Planet2,902.37,902.37,0.16,0.47,86.51,N,No
System202,Planet3,1438.01,1438.01,0.27,0.52,-14.51,Y,No
System203,Planet1,654.31,654.31,0.13,0.66,-18.18,Y,No
System203,Planet2,315.52,315.52,0.16,0.76,48.49,Y,No
System203,Planet3,1165.65,1165.65,0.26,0.66,2.66,N,No
System204,Planet1,1018.03,1018.03,0.13,0.35,5.79,Y,No
System204,Planet2,420.6,420.6,0.17,0.55,45.14,Y,No
System204,Planet3,291.22,291.22,0.2,0.45,24.13,N,No
System205,Planet1,1360.88,1360.88,0.22,0.64,-9.6,Y,No
System205,Planet2,940.56,940.56,0.2,0.52,-6.11,Y,No
System205,Planet3,750.33,750.33,0.22,0.34,-22.24,N,No
System206,Planet1,696.65,696.65,0.28,0.56,19.18,Y,No
System206,Planet2,939.55,939.55,0.3,0.46,7.02,Y,No
System206,Planet3,755.5,755.5,0.16,0.38,67.92,Y,No
System207,Planet1,615.62,615.62,0.16,0.46,75.6,Y,No
System207,Planet2,1312.74,1312.74,0.27,0.33,53.66,N,No
System207,Planet3,850.13,850.13,0.19,0.41,44.63,Y,No
System208,Planet1,782.22,782.22,0.15,0.42,-2.45,Y,No
System208,Planet2,458.25,458.25,0.28,0.47,39.08,N,No
System208,Planet3,168.24,168.24,0.29,0.5,56.36,Y,No
System209,Planet1,180.63,180.63,0.19,0.75,41.15,Y,No
System209,Planet2,1023.7,1023.7,0.12,0.68,91.33,Y,No
System209,Planet3,83.72,83.72,0.24,0.61,62.41,N,No
System210,Planet1,895.12,895.12,0.22,0.71,-19.4,N,No
System210,Planet2,1276.97,1276.97,0.29,0.65,14.28,Y,No
System210,Planet3,204.89,204.89,0.13,0.32,74.33,Y,No
System211,Planet1,240.89,240.89,0.22,0.68,54.62,Y,No
System211,Planet2,5.22,5.22,0.29,0.56,77.93,N,No
System211,Planet3,1208.76,1208.76,0.27,0.38,49.0,Y,No
System212,Planet1,135.95,135.95,0.14,0.42,26.08,Y,No
System212,Planet2,1410.84,1410.84,0.25,0.32,81.42,Y,No
System212,Planet3,208.77,208.77,0.11,0.38,22.36,N,No
System213,Planet1,521.55,521.55,0.21,0.65,96.42,N,No
System213,Planet2,34.35,34.35,0.27,0.65,-24.24,Y,No
System213,Planet3,9.84,9.84,0.16,0.53,52.13,Y,No
System214,Planet1,1203.66,1203.66,0.14,0.4,55.77,N,No
System214,Planet2,830.57,830.57,0.26,0.41,72.6,N,No
System214,Planet3,1287.21,1287.21,0.11,0.56,13.09,N,No
System215,Planet1,497.4,497.4,0.3,0.47,-17.79,Y,No
System215,Planet2,540.65,540.65,0.3,0.3,-16.52,Y,No
System215,Planet3,1479.12,1479.12,0.11,0.4,41.76,N,No
System216,Planet1,585.54,585.54,0.25,0.62,91.25,N,No
System216,Planet2,98.74,98.74,0.26,0.51,87.92,N,No
System216,Planet3,277.34,277.34,0.21,0.39,17.4,N,No
System217,Planet1,620.37,620.37,0.26,0.42,12.72,Y,No
System217,Planet2,1301.07,1301.07,0.29,0.77,76.66,N,No
System217,Planet3,1179.86,1179.86,0.17,0.58,83.31,N,No
System218,Planet1,379.12,379.12,0.12,0.66,0.88,Y,No
System218,Planet2,529.97,529.97,0.21,0.8,-5.84,Y,No
System218,Planet3,176.71,176.71,0.15,0.8,28.94,N,No
System219,Planet1,1225.74,1225.74,0.21,0.37,-8.73,Y,No
System219,Planet2,233.06,233.06,0.22,0.35,48.99,Y,No
System219,Planet3,1219.83,1219.83,0.23,0.47,91.27,N,No
System220,Planet1,1046.0,1046.0,0.3,0.77,16.28,Y,No
System220,Planet2,942.31,942.31,0.15,0.66,66.34,N,No
System220,Planet3,1087.87,1087.87,0.22,0.47,-18.93,Y,No
System221,Planet1,1083.06,1083.06,0.11,0.55,55.9,N,No
System221,Planet2,1287.7,1287.7,0.14,0.69,55.92,Y,No
System221,Planet3,884.19,884.19,0.11,0.44,-21.75,Y,No
System222,Planet1,902.84,902.84,0.18,0.44,99.21,N,No
System222,Planet2,1069.75,1069.75,0.28,0.57,-25.24,N,No
System222,Planet3,504.07,504.07,0.18,0.54,4.59,N,No
System223,Planet1,1022.57,1022.57,0.18,0.43,75.35,N,No
System223,Planet2,158.39,158.39,0.3,0.4,58.56,N,No
System223,Planet3,706.01,706.01,0.24,0.72,5.16,Y,No
System224,Planet1,72.97,72.97,0.15,0.4,80.8,N,No
System224,Planet2,328.47,328.47,0.12,0.52,32.18,N,No
System224,Planet3,602.27,602.27,0.16,0.61,7.19,Y,No
System225,Planet1,316.26,316.26,0.21,0.32,45.51,Y,No
System225,Planet2,124.46,124.46,0.29,0.73,52.31,Y,No
System225,Planet3,281.81,281.81,0.14,0.33,-28.63,Y,No
System226,Planet1,858.61,858.61,0.12,0.67,38.3,Y,No
System226,Planet2,879.84,879.84,0.1,0.48,91.99,Y,No
System226,Planet3,1195.75,1195.75,0.21,0.37,32.03,Y,No
System227,Planet1,1475.61,1475.61,0.21,0.43,10.03,Y,No
System227,Planet2,22.98,22.98,0.25,0.39,18.12,Y,No
System227,Planet3,421.14,421.14,0.14,0.44,27.82,Y,No
System228,Planet1,1361.27,1361.27,0.15,0.51,-24.42,Y,No
System228,Planet2,867.96,867.96,0.26,0.6,19.0,N,No
System228,Planet3,530.79,530.79,0.14,0.75,-22.93,Y,No
System229,Planet1,1475.01,1475.01,0.15,0.43,9.56,N,No
System229,Planet2,403.31,403.31,0.2,0.78,-26.63,N,No
System229,Planet3,155.07,155.07,0.13,0.62,97.95,Y,No
System230,Planet1,840.42,840.42,0.19,0.7,-23.49,N,No
System230,Planet2,1329.72,1329.72,0.25,0.78,-17.32,Y,No
System230,Planet3,999.56,999.56,0.21,0.31,12.97,Y,No
System231,Planet1,1147.79,1147.79,0.2,0.7,-8.62,Y,No
System231,Planet2,381.15,381.15,0.11,0.69,44.47,Y,No
System231,Planet3,1385.49,1385.49,0.27,0.51,-20.7,N,No
System232,Planet1,589.88,589.88,0.29,0.58,76.82,N,No
System232,Planet2,1332.82,1332.82,0.3,0.57,36.82,N,No
System232,Planet3,351.33,351.33,0.19,0.44,41.9,N,No
System233,Planet1,1144.53,1144.53,0.11,0.6,75.95,N,No
System233,Planet2,223.89,223.89,0.26,0.78,11.54,N,No
System233,Planet3,1300.85,1300.85,0.11,0.39,81.77,Y,No
System234,Planet1,777.68,777.68,0.12,0.56,40.2,N,No
System234,Planet2,177.14,177.14,0.27,0.68,-13.73,Y,No
System234,Planet3,86.65,86.65,0.15,0.76,-27.69,Y,No
System235,Planet1,995.99,995.99,0.21,0.69,88.36,N,No
System235,Planet2,1135.98,1135.98,0.22,0.47,5.38,N,No
System235,Planet3,1135.14,1135.14,0.17,0.72,1.29,Y,No
System236,Planet1,1019.21,1019.21,0.29,0.62,-6.05,Y,No
System236,Planet2,172.28,172.28,0.24,0.73,-2.87,Y,No
System236,Planet3,419.85,419.85,0.28,0.5,1.03,N,No
System237,Planet1,1426.21,1426.21,0.28,0.52,-22.96,Y,No
System237,Planet2,683.14,683.14,0.29,0.64,27.41,Y,No
System237,Planet3,423.75,423.75,0.11,0.46,93.91,Y,No
System238,Planet1,885.43,885.43,0.23,0.46,-1.6,Y,No
System238,Planet2,59.5,59.5,0.18,0.6,-16.66,Y,No
System238,Planet3,387.04,387.04,0.12,0.73,67.57,Y,No
System239,Planet1,340.87,340.87,0.29,0.35,-21.61,N,No
System239,Planet2,1494.74,1494.74,0.16,0.35,89.63,N,No
System239,Planet3,408.35,408.35,0.25,0.8,86.26,N,No
System240,Planet1,622.92,622.92,0.11,0.65,95.67,N,No
System240,Planet2,896.81,896.81,0.27,0.74,16.42,Y,No
System240,Planet3,1060.07,1060.07,0.26,0.71,8.18,Y,No
System241,Planet1,499.04,499.04,0.29,0.6,16.11,Y,No
System241,Planet2,913.21,913.21,0.25,0.35,80.07,Y,No
System241,Planet3,728.95,728.95,0.28,0.73,19.3,Y,No
System242,Planet1,1285.81,1285.81,0.12,0.8,0.75,Y,No
System242,Planet2,620.78,620.78,0.21,0.5,71.37,Y,No
System242,Planet3,384.03,384.03,0.23,0.79,18.52,N,No
System243,Planet1,396.23,396.23,0.12,0.53,96.38,Y,No
System243,Planet2,1434.56,1434.56,0.24,0.57,16.01,N,No
System243,Planet3,788.54,788.54,0.19,0.49,50.92,Y,No
System244,Planet1,536.17,536.17,0.22,0.62,57.39,Y,No
System244,Planet2,153.7,153.7,0.27,0.32,-16.65,Y,No
System244,Planet3,322.13,322.13,0.15,0.65,72.24,N,No
System245,Planet1,1079.45,1079.45,0.12,0.49,91.53,N,No
System245,Planet2,208.33,208.33,0.24,0.53,45.06,N,No
System245,Planet3,694.33,694.33,0.29,0.63,-27.9,N,No
System246,Planet1,1204.89,1204.89,0.25,0.44,-18.94,N,No
System246,Planet2,549.82,549.82,0.3,0.53,36.67,Y,No
System246,Planet3,1360.29,1360.29,0.19,0.38,-18.17,N,No
System247,Planet1,1168.4,1168.4,0.22,0.64,91.68,N,No
System247,Planet2,1401.8,1401.8,0.24,0.55,40.6,Y,No
System247,Planet3,1173.38,1173.38,0.25,0.72,53.22,Y,No
System248,Planet1,113.02,113.02,0.3,0.41,99.22,N,No
System248,Planet2,57.15,57.15,0.28,0.66,4.56,N,No
System248,Planet3,704.46,704.46,0.28,0.35,2.8,Y,No
System249,Planet1,1059.72,1059.72,0.14,0.46,19.01,Y,No
System249,Planet2,1019.9,1019.9,0.22,0.7,30.31,N,No
System249,Planet3,1394.58,1394.58,0.19,0.47,39.96,N,No
System250,Planet1,363.43,363.43,0.2,0.77,47.48,N,No
System250,Planet2,1164.99,1164.99,0.2,0.46,63.65,Y,No
System250,Planet3,1316.62,1316.62,0.11,0.37,52.21,Y,No
System251,Planet1,1269.81,1269.81,0.23,0.46,53.73,N,No
System251,Planet2,840.42,840.42,0.26,0.48,24.61,Y,No
System251,Planet3,503.97,503.97,0.24,0.36,18.99,Y,No
System252,Planet1,1210.34,1210.34,0.23,0.56,-26.54,N,No
System252,Planet2,1421.58,1421.58,0.2,0.58,-9.88,Y,No
System252,Planet3,1359.28,1359.28,0.28,0.34,43.24,N,No
System253,Planet1,719.73,719.73,0.12,0.78,36.76,Y,No
System253,Planet2,1077.85,1077.85,0.28,0.61,85.54,N,No
System253,Planet3,508.69,508.69,0.22,0.55,97.89,Y,No
System254,Planet1,470.97,470.97,0.26,0.56,31.87,Y,No
System254,Planet2,1236.3,1236.3,0.13,0.54,0.03,N,No
System254,Planet3,1437.99,1437.99,0.19,0.56,57.98,N,No
System255,Planet1,180.66,180.66,0.14,0.57,-14.71,N,No
System255,Planet2,688.97,688.97,0.25,0.49,96.94,Y,No
System255,Planet3,197.25,197.25,0.25,0.57,96.0,N,No
System256,Planet1,67.96,67.96,0.11,0.33,-0.88,N,No
System256,Planet2,585.05,585.05,0.28,0.55,0.87,N,No
System256,Planet3,572.68,572.68,0.23,0.39,31.35,Y,No
System257,Planet1,1317.29,1317.29,0.18,0.5,-15.18,N,No
System257,Planet2,126.97,126.97,0.11,0.76,82.98,N,No
System257,Planet3,1143.17,1143.17,0.21,0.45,21.88,Y,No
System258,Planet1,344.78,344.78,0.18,0.44,77.35,Y,No
System258,Planet2,404.88,404.88,0.17,0.73,11.15,N,No
System258,Planet3,1419.0,1419.0,0.12,0.71,2.23,N,No
System259,Planet1,288.24,288.24,0.12,0.68,-7.02,Y,No
System259,Planet2,11.69,11.69,0.15,0.44,27.43,N,No
System259,Planet3,1207.54,1207.54,0.25,0.57,62.9,Y,No
System260,Planet1,1195.27,1195.27,0.21,0.65,-3.96,Y,No
System260,Planet2,238.92,238.92,0.29,0.38,64.86,N,No
System260,Planet3,40.65,40.65,0.17,0.75,88.66,N,No
System261,Planet1,475.0,475.0,0.15,0.54,55.36,N,No
System261,Planet2,323.61,323.61,0.21,0.52,-21.1,Y,No
System261,Planet3,170.69,170.69,0.21,0.6,20.35,Y,No
System262,Planet1,291.06,291.06,0.12,0.72,40.79,N,No
System262,Planet2,75.69,75.69,0.13,0.66,70.18,N,No
System262,Planet3,108.25,108.25,0.18,0.33,19.08,Y,No
System263,Planet1,279.03,279.03,0.27,0.37,93.46,Y,No
System263,Planet2,999.18,999.18,0.15,0.73,62.68,Y,No
System263,Planet3,814.86,814.86,0.25,0.34,70.13,Y,No
System264,Planet1,1027.01,1027.01,0.24,0.57,69.02,Y,No
System264,Planet2,681.65,681.65,0.14,0.56,90.08,Y,No
System264,Planet3,1498.43,1498.43,0.13,0.66,26.99,Y,No
System265,Planet1,251.11,251.11,0.16,0.6,-2.88,Y,No
System265,Planet2,76.82,76.82,0.19,0.66,88.34,N,No
System265,Planet3,386.22,386.22,0.19,0.35,33.44,N,No
System266,Planet1,258.46,258.46,0.2,0.79,77.04,N,No
System266,Planet2,491.09,491.09,0.23,0.56,4.83,N,No
System266,Planet3,1479.91,1479.91,0.23,0.57,94.91,N,No
System267,Planet1,1114.6,1114.6,0.16,0.45,54.02,Y,No
System267,Planet2,783.23,783.23,0.19,0.51,-9.29,Y,No
System267,Planet3,545.55,545.55,0.14,0.6,-5.22,N,No
System268,Planet1,1482.02,1482.02,0.12,0.66,89.39,N,No
System268,Planet2,1147.74,1147.74,0.26,0.63,38.65,Y,No
System268,Planet3,111.46,111.46,0.17,0.69,-22.53,Y,No
System269,Planet1,86.4,86.4,0.29,0.48,18.23,Y,No
System269,Planet2,98.54,98.54,0.12,0.79,98.29,N,No
System269,Planet3,1027.23,1027.23,0.12,0.42,4.68,Y,No
System270,Planet1,899.88,899.88,0.19,0.38,10.57,N,No
System270,Planet2,369.04,369.04,0.14,0.45,18.13,N,No
System270,Planet3,997.74,997.74,0.24,0.42,-15.28,N,No
System271,Planet1,137.42,137.42,0.28,0.62,39.93,Y,No
System271,Planet2,391.32,391.32,0.14,0.47,82.95,Y,No
System271,Planet3,607.54,607.54,0.24,0.33,24.69,Y,No
System272,Planet1,1356.34,1356.34,0.1,0.36,67.03,N,No
System272,Planet2,789.61,789.61,0.12,0.48,68.61,N,No
System272,Planet3,705.29,705.29,0.29,0.41,-23.88,N,No
System273,Planet1,452.82,452.82,0.27,0.46,15.09,N,No
System273,Planet2,421.83,421.83,0.26,0.55,86.56,Y,No
System273,Planet3,503.35,503.35,0.11,0.43,95.98,Y,No
System274,Planet1,62.03,62.03,0.21,0.41,-18.67,Y,No
System274,Planet2,1049.95,1049.95,0.22,0.6,39.56,N,No
System274,Planet3,1075.13,1075.13,0.16,0.48,-16.66,Y,No
System275,Planet1,404.92,404.92,0.18,0.57,73.57,Y,No
System275,Planet2,1211.36,1211.36,0.2,0.61,17.22,N,No
System275,Planet3,70.04,70.04,0.2,0.51,96.12,N,No
System276,Planet1,948.4,948.4,0.29,0.6,62.82,N,No
System276,Planet2,488.5,488.5,0.17,0.44,12.76,Y,No
System276,Planet3,171.26,171.26,0.19,0.5,69.64,Y,No
System277,Planet1,85.65,85.65,0.11,0.73,97.01,Y,No
